srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
eng,fre,1079,1079,judge17,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,2,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,2,newsdiscusstest2015.online-A.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,2,newsdiscusstest2015.online-B.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,2,newsdiscusstest2015.online-E.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,2,newsdiscusstest2015.online-F.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,2,newsdiscusstest2015.uedin-jhu-phrase.4104.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,1,newsdiscusstest2015.online-A.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,1,newsdiscusstest2015.online-B.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,1,newsdiscusstest2015.online-E.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,1,newsdiscusstest2015.online-F.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,1,newsdiscusstest2015.uedin-jhu-phrase.4104.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-A.0.en-fr.txt,1,newsdiscusstest2015.online-B.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-A.0.en-fr.txt,1,newsdiscusstest2015.online-E.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-A.0.en-fr.txt,1,newsdiscusstest2015.online-F.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-A.0.en-fr.txt,1,newsdiscusstest2015.uedin-jhu-phrase.4104.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-B.0.en-fr.txt,1,newsdiscusstest2015.online-E.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-B.0.en-fr.txt,1,newsdiscusstest2015.online-F.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-B.0.en-fr.txt,1,newsdiscusstest2015.uedin-jhu-phrase.4104.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-E.0.en-fr.txt,1,newsdiscusstest2015.online-F.0.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-E.0.en-fr.txt,1,newsdiscusstest2015.uedin-jhu-phrase.4104.en-fr.txt,1,193
eng,fre,1079,1079,judge17,newsdiscusstest2015.online-F.0.en-fr.txt,1,newsdiscusstest2015.uedin-jhu-phrase.4104.en-fr.txt,1,193
eng,fre,626,626,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,2,newsdiscusstest2015.online-B.0.en-fr.txt,1,194
eng,fre,626,626,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,2,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,3,194
eng,fre,626,626,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,2,newsdiscusstest2015.online-F.0.en-fr.txt,5,194
eng,fre,626,626,judge17,newsdiscusstest2015.LIMSI-CNRS-mosesSoulMoreFeatures.4000.en-fr.txt,2,newsdiscusstest2015.online-A.0.en-fr.txt,4,194
eng,fre,626,626,judge17,newsdiscusstest2015.online-B.0.en-fr.txt,1,newsdiscusstest2015.CIMS-FR.4056.en-fr.txt,3,194
